Year,Constituency Number,Constituency Name,District,BJP/NDA Candidate Name,Party Label,Votes Received,Total Valid Votes,Vote Share %,Position,Winning Candidate,Winning Party,Winning Vote Count,Margin,BJP/NDA Margin Gap,Swing from Previous LS
2014,1,Kasaragod,,K. Surendran,BJP,172826,945546.0,17.7,3,P. Karunakaran,LDF,384964,6921,212138,
2014,2,Kannur,,P C. Mohanan,BJP,51636,919484.0,5.5,3,P. K. Sreemathy,LDF,427622,6566,375986,
2014,3,Vatakara,,V. K. Sajeevan,BJP,76313,923194.0,8.0,3,Mullappally Ramachandran,UDF,416479,3306,340166,
2014,4,Wayanad,,P. R. Rasmilnath,BJP,80752,851075.0,8.8,3,M. I. Shanavas,UDF,377035,20870,296283,
2014,5,Kozhikode,,C. K. Padmanabhan,BJP,115760,908041.0,12.3,3,M. K. Raghavan,UDF,397615,16883,281855,
2014,6,Malappuram,,N. Sreeprakash,BJP,64705,793265.0,7.6,3,E. Ahammed,UDF,437723,194739,373018,
2014,7,Ponnani,,Narayanan,BJP,75212,833448.0,8.6,3,E. T. Muhammed Basheer,UDF,378503,25410,303291,
2014,8,Palakkad,,Sobha Surendran,BJP,136587,869585.0,15.0,3,M. B. Rajesh,LDF,412897,105300,276310,
2014,9,Alathur,,Shajumon Vattekkattu,BJP,87803,881927.0,9.5,3,P. K. Biju,LDF,411808,37312,324005,
2014,10,Thrissur,,K. P. Sreesan,BJP,102681,887510.0,11.2,3,C. N. Jayadevan,LDF,389209,38227,286528,
2014,11,Chalakudy,,B. Gopalakrishnan,BJP,92848,831033.0,10.5,3,Innocent,LDF,358440,13884,265592,
2014,12,Ernakulam,,A. N. Radhakrishnan,BJP,99003,771155.0,11.6,3,K. V. Thomas,UDF,353841,87047,254838,
2014,13,Idukki,,Sabu Varghese,BJP,50438,775149.0,6.2,3,Joice George,LDF,382019,50542,331581,
2014,14,Kottayam,,Noble Mathew,KC(N),44357,798527.0,5.3,3,Jose K Mani,UDF,424194,120599,379837,
2014,15,Alappuzha,,A. V. Thamarakshan,RSP(B),43051,959687.0,4.3,3,K. C. Venugopal,UDF,462525,19407,419474,
2014,16,Mavelikkara,,P. Sudheer,BJP,79743,860816.0,9.0,3,Kodikkunnil Suresh,UDF,402432,32737,322689,
2014,17,Pathanamthitta,,M. T. Ramesh,BJP,138954,816940.0,17.4,3,Anto Antony Punnathaniyil,UDF,358842,56191,219888,
2014,18,Kollam,,P. M. Velayudhan,BJP,58671,850890.0,6.7,3,N.K. Premachandran,UDF,408528,37649,349857,
2014,19,Attingal,,Girijakumari S,BJP,90528,817331.0,11.2,3,A. Sampath,LDF,392478,69378,301950,
2014,20,Thiruvananthapuram,,O. Rajagopal,BJP,282336,843236.0,34.0,2,Shashi Tharoor,UDF,297806,15470,15470,
2019,1,Kasaragod,,Raveesh Thanthri Kuntar,BJP,176049,,,3,Rajmohan Unnithan,INC,474961,40438,298912,
