Year,Constituency Number,Constituency Name,District,Lok Sabha Segment,BJP/NDA Candidate Name,Party Label,Votes Received,Total Valid Votes,Vote Share %,Position,Winning Candidate,Winning Party,Winning Vote Count,Margin (Winner to Runner-up),BJP/NDA Gap to Winner,Swing from Previous Assembly
2021,1,Manjeshwar,Kasaragod,,K. Surendran,BJP,65013,,,2,A. K. M. Ashraf,IUML,65758,745,745,
2021,2,Kasaragod,Kasaragod,,K. Shreekanth,BJP,50395,,,2,N. A. Nellikkunnu,IUML,63296,12901,12901,
2021,3,Udma,Kasaragod,,,,,,,,C. H. Kunhambu,CPI(M),78664,13322,,
2021,4,Kanhangad,Kasaragod,,,,,,,,E. Chandrasekharan,CPI,84615,27139,,
2021,5,Thrikaripur,Kasaragod,,,,,,,,M. Rajagopalan,CPI(M),86151,26137,,
2021,6,Payyanur,Kannur,,,,,,,,TI. Madhusoodanan,CPI(M),93695,49780,,
2021,7,Kalliasseri,Kannur,,,,,,,,M. Vijin,CPI(M),88252,44393,,
2021,8,Taliparamba,Kannur,,,,,,,,M. V. Govindan,CPI(M),92870,22689,,
2021,9,Irikkur,Kannur,,,,,,,,Sajeev Joseph,INC,76764,10010,,
2021,10,Azhikode,Kannur,,,,,,,,K. V. Sumesh,CPI(M),65794,6141,,
2021,11,Kannur,Kannur,,,,,,,,Kadannappalli Ramachandran,Cong(S),60313,1745,,
2021,12,Dharmadam,Kannur,,,,,,,,Pinarayi Vijayan,CPI(M),95522,50123,,
2021,13,Thalassery,Kannur,,,,,,,,A. N. Shamseer,CPI(M),81810,36801,,
2021,14,Kuthuparamba,Kannur,,,,,,,,K. P. Mohanan,LJD,70626,9541,,
2021,15,Mattannur,Kannur,,,,,,,,K. K. Shailaja,CPI(M),96129,60963,,
2021,16,Peravoor,Kannur,,,,,,,,Sunny Joseph,INC,66706,3172,,
2021,17,Mananthavady (ST),Wayanad,,,,,,,,O. R. Kelu,CPI(M),72536,9282,,
2021,18,Sulthan Bathery (ST),Wayanad,,,,,,,,I. C. Balakrishnan,INC,81077,11822,,
2021,19,Kalpetta,Wayanad,,,,,,,,T. Siddique,INC,70252,5470,,
2021,20,Vadakara,Kozhikode,,,,,,,,K. K. Rema,RMPI,65093,7491,,
2021,21,Kuttiady,Kozhikode,,,,,,,,K. P. Kunhammadkutty,CPI(M),80143,333,,
2021,22,Nadapuram,Kozhikode,,,,,,,,E. K. Vijayan,CPI,83293,4035,,
2021,23,Koyilandy,Kozhikode,,,,,,,,Kanathil Jameela,CPI(M),75628,8472,,
2021,24,Perambra,Kozhikode,,,,,,,,T. P. Ramakrishnan,CPI(M),86023,22592,,
2021,25,Balussery (SC),Kozhikode,,,,,,,,K. M. Sachin Dev,CPI(M),91839,20372,,
2021,26,Elathur,Kozhikode,,,,,,,,A. K. Saseendran,NCP,83639,38502,,
2021,27,Kozhikode North,Kozhikode,,,,,,,,Thottathil Raveendran,CPI(M),59124,12928,,
2021,28,Kozhikode South,Kozhikode,,,,,,,,Ahamed Devarkovil,INL,52557,12459,,
2021,29,Beypore,Kozhikode,,,,,,,,P. A. Mohammed Riyas,CPI(M),82165,28747,,
2021,30,Kunnamangalam,Kozhikode,,,,,,,,P. T. A. Rahim,IND,85138,10276,,
2021,31,Koduvally,Kozhikode,,,,,,,,M. K. Muneer,IUML,72336,6344,,
2021,32,Thiruvambady,Kozhikode,,,,,,,,Linto Joseph,CPI(M),67867,5596,,
2021,33,Kondotty,Malappuram,,,,,,,,T. V. Ibrahim,IUML,82759,17666,,
2021,34,Eranad,Malappuram,,,,,,,,P. K. Basheer,IUML,78076,22546,,
2021,35,Nilambur,Malappuram,,,,,,,,P. V. Anvar,IND,81227,2700,,
