Year,Month,Constituency Name,Constituency Type,District,Reason for By-Election,BJP/NDA Candidate,Party Label,Votes Received,Total Valid Votes,Vote Share %,Position,Winning Candidate,Winning Party,Margin,BJP/NDA Gap to Winner,Swing from General Election
2017,,Vengara,Assembly,Malappuram,,K Janachandran,BJP,5728,112872,5.07,3,K.N.A. Khader,IUML,24123,59499,
2018,,Chengannur,Assembly,Alappuzha,,P. S. Sreedharan Pillai,BJP,35270,148920,23.68,3,Saji Cherian,CPI(M),20956,32033,
2019,,Manjeshwaram,Assembly,Kasaragod,,Ravisha Thanthri Kuntar,BJP,57484,161124,35.68,2,M. C. Kamaruddin[30],IUML,7923,7923,
2019,,Pala,Assembly,Kottayam,,N.Hari,BJP,18044,123375,14.63,3,Mani C. Kappan[32][33][34],NCP,2943,36093,
2019,,Vattiyoorkavu,Assembly,Thiruvananthapuram,,Adv S Suresh,BJP,27453,122648,22.38,3,V. K. Prasanth,CPI(M),14465,27377,
2019,,Konni,Assembly,Pathanamthitta,,K. Surendran,BJP,39786,138031,28.82,3,K. U. Jenish Kumar,CPI(M),9953,14313,
2019,,Aroor,Assembly,Alappuzha,,K.P.Prakash Babu,BJP,16289,152922,10.65,3,Shanimol Usman,INC,2079,53067,
2019,,Ernakulam,Assembly,Ernakulam,,C.G.Rajagopal,BJP,13351,85383,15.64,3,T. J. Vinod,INC,3750,24540,
2022,,Thrikkakara,Assembly,Ernakulam,,A. N. Radhakrishnan,BJP,12957,,,3,Uma Thomas,INC,25016,59813,
2023,,Puthuppally,Assembly,Kottayam,,Lijin Lal,BJP,6558,,,3,Chandy Oommen,INC,37719,73588,
