Year,Corporation,Ward_No,Ward_Name,Winning_Candidate,Party,Category,Reservation_Status,Source
2020,,,,,,,,
2015,,,,,,,,
2010,,,,,,,,
2025,,,,,,,,
2010,Thiruvananthapuram,1,KAZHAKUTTOM,SREEREKHA R,SJ(D),SC Woman,SC Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,2,CHANTHAVILA,MOHANAN NAIR K,INC,General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,3,KAATTAYIKONAM,VINOD G,CPI(M),General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,4,SREEKARIYAM,VIJAYAKUMAR,INDEPENDENT,General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,5,CHERUVAIKKAL,SINI V R,CMP,Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,6,ULLOOR,CHITHRA SHAJI,CPI(M),Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,7,EDAVACODE,PADMAKUMAR V S,CPI(M),General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,8,CHELLAMANGALAM,SHEELA K S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,9,CHEMPAZHANTHY,ALAMCODE SURENDRAN,INC,SC,SC,OpenDataKerala GitHub
2010,Thiruvananthapuram,10,POWDIKONAM,CHANDRALEKHA S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,11,NJANDOORKONAM,VIMALAKUMARI S,CPI,Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,12,KINAVOOR,SARASAMMA C,INC,Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,13,MANNANTHALA,VANAJA RAJENDRABABU,INC,Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,14,NALANCHIRA,JOHNSON JOSEPH,INC,General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,15,KESAVADASAPURAM,GEORGE LUICE,INC,General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,16,MEDICAL COLLEGE,SREEKUMAR G S,INC,SC,SC,OpenDataKerala GitHub
2010,Thiruvananthapuram,17,PATTOM,MURUKESHAN K,INC,General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,18,MUTTADA,ADV. CHANDRIKA K,CPI(M),General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,19,KUDAPPANAKUNNU,MURUKAN S,CPI(M),General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,20,PATHIRAPPALLY,KASTHURI M S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,21,CHETTIVILAKAM,SREEJA V K,CPI,Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,22,SASTHAMANGALAM,SURESHKUMAR G,INC,General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,23,KOWDIAR,SATHIKUMARI S,INC,Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,24,KURAVANKONAM,SHYAMKUMAR P,RSP,General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,25,NANTHANCODE,LEELAMMA TEACHER,INC,Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,26,KUNNUKUZHI,MERYPUSHPAM A,INC,Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,27,PALAYAM,RAJAN P PADMANABHAN NADAR,Con(S),General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,28,THYCAUD,MADHAVADAS G,CMP,General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,29,VAZHUTHACAUD,SURESH KUMAR K,INC,General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,30,KANJIRAMPARA,VASANTHAKUMARI S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,31,PEROORKADA,PROF.CHANDRA J,CPI(M),Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,32,THURUTHUMMOOLA,PRASANNA VIJAYAN,INC,Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,33,NETTAYAM,RAJEEV M R,BJP,General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,34,KACHANI,REMA P,CPI(M),Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,35,VAZHOTTUKONAM,PADMAKUMARI S,INC,Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,36,VATTIYOORKAVU,SREELEKHA T K,CPI(M),Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,37,KODUNGANOOR,SHEENA G S,INC,SC Woman,SC Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,38,P T P NAGAR,HAPPYKUMAR G,CPI,General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,39,PANGODE,GEETHAKUMARI A,CPI(M),Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,40,THIRUMALA,RAJESH P R,CPI(M),General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,41,VALIYAVILA,RADHA N,CPI(M),SC Woman,SC Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,42,POOJAPPURA,MAHESWARAN NAIR K,INC,General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,43,VALIYASALA,HARSHAN P,CPI(M),General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,44,JAGATHY,SHEEJA MADHU,BJP,Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,45,KARAMANA,JAYASREE S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,46,ARANNOOR,JAYALEKSHMI R,CPI(M),Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,47,MUDAVANMUGAL,CHANDRALEKHA O S,INC,Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,48,THRIKKANNAPURAM,SUCHITHAKUMARI C,CPI(M),Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,49,NEMOM,SUDHA M S,INC,Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,50,PONNUMANGALAM,GOPAN M R,BJP,General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,51,PUNNAKKAMUGAL,PRAVEENA R V,CPI(M),Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,52,PAPPANAMCODE,RATHI DEVI S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,53,ESTATE,BEENA O,INC,Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,54,NEDUMCAUD,PUSHPALATHA S,CPI(M),General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,55,KALADY,KRISHNAN KUTTY K,INC,SC,SC,OpenDataKerala GitHub
2010,Thiruvananthapuram,56,MELAMCODE,ADV. SINDHU C,CPI(M),Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,57,PUNCHAKKARI,SUKKARNO A J,CPI(M),General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,58,POONKULAM,SUSEELA S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,59,VENGANOOR,SUKUMARI H,CPI(M),Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,60,MULLOOR,OMANA C,INC,Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,61,KOTTAPPURAM,SADANANDAN THAI,INC,SC,SC,OpenDataKerala GitHub
2010,Thiruvananthapuram,62,VIZHINJAM,GLADIS ALEX,INC,Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,63,HARBAR,SUDHEER KHAN K H,INC,General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,64,VELLAR,NEDUMAM MOHANAN,INC,General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,65,THIRUVALLAM,KRISHNA VENI A G,INC,Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,66,POONTHURA,SHERLY J,CPI(M),Woman,Woman,OpenDataKerala GitHub
2010,Thiruvananthapuram,67,AMBALATHARA,MUJEEB REHMAN A,SJ(D),General,General,OpenDataKerala GitHub
2010,Thiruvananthapuram,68,KAMALESWARAM,RESHMI M B,JSS,Woman,Woman,OpenDataKerala GitHub
