Year,District,Municipality,Ward_No,Ward_Name,Winning_Candidate,Party,Category,Reservation_Status,Source
2015,Thiruvananthapuram,Varkala,1,VILAKKULAM,ABDUL SAMAD A,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,2,IDAPPARAMBU,S JAYASREE,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,3,JANATHAMUKKU,SULEKHA S,CPI(M),SC Woman,SC Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,4,KARUNILAKODU,SAJITH ROY,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,5,KALLAZHI,A SISUPALAN,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,6,PULLANNIKODE,Y SHAJAHAN,INDEPENDENT,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,7,AYANIKKUZHIVILA,RAJI SUNIL,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,8,KANNAMBA,S PRADEEP,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,9,NADAYARA,AYSHA BEEVI,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,10,KANWASRAMAM,ADV. BIJU K R,CPI(M),SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,11,CHALUVILA,G. SUNIL KUMAR,BJP,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,12,KALLAMKONAM,K PRAKASH,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,13,CHERUMKUNNAM,LATHIKA SATHYAN,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,14,SIVAGIRI,PRASAD S,INC,SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,15,TEACHERSCOLONY,ADV: NEETHU MOHAN,RSP,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,16,RAGHUNATHAPURAM,PARAPPURAM A HABEEBULLA,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,17,PUTHENCHANTHA,BABU G,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,18,THACHANKONAM,JEYANTHI T,CPI(M),SC Woman,SC Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,19,RAMANTHALI,ANIJO S,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,20,PANAYIL,JASEENA HASHIM,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,21,VALLAKKADAVU,SALIM,INDEPENDENT,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,22,PERUMKULAM,BINDHU HARIDAS,CPI(M),SC Woman,SC Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,23,KOTTUMOOLA,SHIJIMOL M,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,24,MAITHANAM,LISSY,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,25,MUNCIPAL OFFICE,SUBHA BHADRAN,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,26,HOSPITAL,BINDHU S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,27,TEMPLE,SWAPNA SHEKHAR,BJP,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,28,PAPANASAM,GEETHA HEMACHANDRAN,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,29,PARAYIL,C KRISHNA KUMAR,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,30,MUNDAYIL,P UNNIKRISHNAN NAIR,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,31,JAWAHAR PARK,S BINDHU,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,32,PUNNAMOODU,PRIYA GOPAN,BJP,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,33,KURAKKANNI,A R RAGASREE,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,1,KOCHUVILA,D IMAMUDEEN,CPI,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,2,ALAMCODE,RUKHAINATH A,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,3,POOVANPARA,REJI S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,4,L M S,K S SANTHOSH KUMAR,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,5,KARICHIYIL,P SYAMALA AMMA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,6,THACHOORKUNNU,M K SURESH,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,7,ARATTUKADAVU,GEETHAKUMARI,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,8,AVANAVANCHERI,SOBHANAKUMARI,INC,SC Woman,SC Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,9,GRAMAM,GAYATHRIDEVI,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,10,VELAMKONAM,PRADEEP M,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,11,KACHERI,C PRADEEP,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,12,MANOMOHANAVILASAM,AVANAVANCHERY RAJU,CPI,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,13,AMBALAMMUKKU,T R KOMALAKUMARI,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,14,CHITTATTINKARA,THAHIR M,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,15,VALIYAKUNNU,SOBHANA K,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,16,SEEVELIKONAM,PRINCE RAJ S K,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,17,MUNNUMUKKU,M ANILKUMAR,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,18,ATTAKKULAM,S SREELATHA,BJP,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,19,PARVATHYPURAM,SREEDEVI K,BJP,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,20,KANJIRAMKONAM,MINI O S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,21,RAMACHAMVILA,REKHA R S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,22,CHERUVALLIMUKKU,G THULASEEDHARAN PILLAI,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,23,KODUMON,M S MANJU,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,24,PALACE,R S PRASANTH,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,25,KUNNATHU,S SHEEJA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,26,TOWN,SANTHOSH S,BJP,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,27,PACHAMKULAM,N PADMANABHAN,BJP,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,28,THOTTAVARAM,ADV. C J RAJESHKUMAR,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,29,KOTTIYODE,P S VEENA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,30,TOWNHALL,S JAMEELA,CPI(M),SC Woman,SC Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Attingal,31,MELATTINGAL,R RAJU,CPI(M),SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,1,KALLUVARAMBU,GEETHA B,BJP,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,2,IRINCHAYAM,S RAVEENDRAN,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,3,KUSARKODE,R MADHU,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,4,ULIYOOR,B SATHEESAN,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,5,MANAKODE,VINODINI,BJP,SC Woman,SC Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,6,NETTA,K J BINU,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,7,NAGARIKUNNU,K RAVEENDRAN,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,8,KACHERI,T ARJUNAN,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,9,TOWN,J KRISHNAKUMAR,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,10,MOOTHAMKONAM,T R SURESH,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,11,KODIPPURAM,R SUNIL,CPI(M),SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,12,KOLLAMKAVU,LISSY VIJAYAN,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,13,PULIPPARA,CHETTACHAL SAHADEVAN,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,14,VANDA,SUMAYYA MANOJ,BJP,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,15,MUGHAVOOR,SANGEETHA RAJESH,BJP,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,16,KORALIYODU,N R BAIJU,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,17,PATHINARAMKALLU,VATTAPPARA CHANDRAN,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,18,MANNOORKONAM,CHITHRALEKHA S P,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,19,VALIYAMALA,P HARIKESAN NAIR,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,20,THARATTA,O S SHEELA,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,21,IDAMALA,T LALITHA,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,22,PADAVALLIKONAM,ANOOP P S,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,23,KANNARAMKODU,GEETHAKUMARI K,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,24,PARANDODE,C SABU,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,25,MANCHA,A SHAJI,CPI,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,26,T H S WARD,ROSALA J,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,27,PERUMALA,VEENA P PRASAD,CPI(M),SC Woman,SC Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,28,MARKET WARD,FATHIMA N,INDEPENDENT,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,29,PARAMUTTAM,HASEENA BEEVI R,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,30,PATHAMKALLU,ADV. S NOORJI,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,31,KOPPAM,S RAHIYANATHU BEEVI,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,32,SANNAGAR WARD,P RAJEEV,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,33,ARASUPARAMBU,P G PREMACHANDRAN,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,34,PERAYATHUKONAM,AJITHAKUMARI L F,INDEPENDENT,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,35,PARIYARAM,LALITHAMBIKA O,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,36,CHIRAKKANI,BINDHU G S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,37,POONKUMOODU,GEETHA JAYAN,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,38,TOWER WARD,BINU M S,INC,SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Nedumangad,39,POOVATHOOR,LEKHA S,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Neyyattinkara,1,ARALUMMOODU,A SALIM,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Neyyattinkara,2,PUTHANAMBALAM,ANITHA K,INDEPENDENT,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Neyyattinkara,3,MOONNUKALLINMOODU,USHA L,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Neyyattinkara,4,KOOTTAPPANA,LALITHA,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Neyyattinkara,5,PALLIVILAKAM,K C JAYASEELY,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Neyyattinkara,6,PUNNAKKADU,C SAJU,INDEPENDENT,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Neyyattinkara,7,KALATHUVILA,MURUKAN P,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Neyyattinkara,8,VADAKODU,SUDHA V,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Neyyattinkara,9,MUTTAKKADU,JYOTHI VARGHES,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Neyyattinkara,10,ELAVANIKKARA,S SATHI KUMAR,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Neyyattinkara,11,MAMPAZHAKKARA,JAYA DALI M V,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Neyyattinkara,12,MULLARAVILA,S S SWAPNA JITH,BJP,SC,SC,OpenDataKerala GitHub
