Year,District_Panchayat,Ward_No,Ward_Name,Winning_Candidate,Party,Category,Reservation_Status,Source
2015,Thiruvananthapuram,28,VAZHAKKAD,P R ROHILNATH,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,29,AREACODE,ADV P V MANAF,IUML,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,30,EDAVANNA,ISMAYIL MUTHEDAM,IUML,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,31,THRIKKALANGODE,VIMALA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,32,CHUNGATHARA,SHERLI VARGIS,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,25,PAYYOLI ANGADI,M P AJITHA,JD(U),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,26,MANIYOOR,R BALARAM,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,27,CHORODE,T K RAJAN MASTER,CPI,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,18,KOLACHERI,AJITH MATTUL,INC,SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,19,AZHIKODE,K.P. JAYABALAN,INDEPENDENT,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,20,KALLIASSERI,P.P. SHAJIR,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,21,CHERUKUNNU,ANSARI THILLANKERI,IUML,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,22,KUNHIMANGALAM,R. AJITHA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,23,PARIYARAM,K.V. SUMESH,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,24,KADANNAPPALLY,P.P. DIVYA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,1,VORKADY,ALI HARSHAD VORKADY,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,2,PUTHIGE,PUSHPA AMEKKALA,BJP,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,3,EDANEER,K.SHREEKANTH,BJP,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,4,DELAMPADY,ADV. USHA A.P,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,5,BEDAKAM,M .NARAYANAN,CPI,ST,ST,OpenDataKerala GitHub
2015,Thiruvananthapuram,6,KALLAR,E. PADMAVATHY,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,7,CHITTARIKKAL,SANTHAMMA PHILIP,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,8,KARINTHALAM,JOSE PATHALIL,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,9,PILICODE,PADMAJA.P.V,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,10,CHERUVATHUR,P.C SUBAIDA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,11,MADIKKAI,M..KELU PANIKKAR,CPI(M),SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,12,PERIYA,DR. V.P.P MUSTAFA,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,13,UDUMA,SHANAVAS PADHOOR,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,14,CHENGALA,SUFAIJA TEACHER,IUML,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,15,CIVIL STATION,MUMTHAZ SAMEERA,IUML,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,16,KUMBALA,A G C BASHEER,IUML,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,17,MANJESWARAM,FAREEDA ZAKEER AHAMED,IUML,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,28,VAZHAKKAD,SUBHADRA SIVADASAN,INC,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,29,AREACODE,M P SHAREEFA TEACHER,IUML,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,30,EDAVANNA,RAIHANATH KURUMADAN,IUML,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,31,THRIKKALANGODE,A P UNNIKRISHNAN,IUML,SC,SC,OpenDataKerala GitHub
2020,Thiruvananthapuram,32,CHUNGATHARA,N.A KAREEM,INC,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,25,PAYYOLI ANGADI,V P DULKHIFIL,INC,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,26,MANIYOOR,K V REENA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,27,CHORODE,N M VIMALA,CPI,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,18,KOLACHERI,K THAHIRA,IUML,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,19,AZHIKODE,ADV. T SARALA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,20,KALLIASSERI,P P DIVYA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,21,CHERUKUNNU,ABIDA TEACHER,IUML,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,22,KUNHIMANGALAM,C P SHIJU,CPI(M),General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,23,PARIYARAM,ADV. K K RATHNAKUMARI,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,24,KADANNAPPALLY,T THAMBAN MASTER,CPI(M),General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,1,VORKADY,KAMALAKSHI K,INC,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,2,PUTHIGE,NARAYANA NAIK,BJP,ST,ST,OpenDataKerala GitHub
2020,Thiruvananthapuram,3,EDANEER,M SHAILAJA BHAT,BJP,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,4,DELAMPADY,SHAFEEQ RAZAK,IUML,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,5,BEDAKAM,ADV. SARITHA S N,CPI,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,6,KALLAR,SHINOOJ CHACKO,KC(M),General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,7,CHITTARIKKAL,JOMON JOSE,INC,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,8,KARINTHALAM,K SAKUNTHALA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,9,PILICODE,M MANU .,JD(S),SC,SC,OpenDataKerala GitHub
2020,Thiruvananthapuram,10,CHERUVATHUR,C J SAJITH,CPI(M),General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,11,MADIKKAI,BABY BALAKRISHNAN,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,12,PERIYA,FATHIMATH SHAMNA B H,CPI(M),Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,13,UDUMA,GEETHA KRISHNAN,INC,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,14,CHENGALA,SHANAVAS PADHOOR,INDEPENDENT,General,General,OpenDataKerala GitHub
2020,Thiruvananthapuram,15,CIVIL STATION,JASMIN KABEER CHERKALAM,IUML,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,16,KUMBALA,JAMEELA SIDDEEQUE DHANDAGOLI,IUML,Woman,Woman,OpenDataKerala GitHub
2020,Thiruvananthapuram,17,MANJESWARAM,GOLDEN ABDUL RAHMAN,IUML,General,General,OpenDataKerala GitHub
