Year,District,Block_Panchayat,Ward_No,Ward_Name,Winning_Candidate,Party,Category,Reservation_Status,Source
2015,Thiruvananthapuram,Varkala,1,KAPPIL,A.BALIQU,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,2,ELAKAMON,V.S.VANITHA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,3,PALAYAMKUNNU,BENNY.K.G,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,4,CHEMMARUTHY,MINIKUMARI. S,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,5,MUTTAPPALAM,SASEENDRA,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,6,VADASSERIKKONAM,ADV.C.S.RAJEEV,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,7,OTTOOR,ADV. SMITHA SUNDARESAN,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,8,MANAMBOOR,P.J.NAHAS,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,9,KAVALAYOOR,M.S.SUSHAMMA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,10,CHERUNNIYOOR,SALIM ISMAIL,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,11,VENNICODE,SABEENA SASANKAN,CPI,SC Woman,SC Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,12,VETTOOR,M.K.YOOSAF,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Varkala,13,EDAVA,MERLY.G.S,CPI,SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,1,PALLICKAL,BABY SUDHA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,2,MADAVOOR,SURAJA,CPI,SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,3,THUMBODE,SREEJA SHAIJUDEV,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,4,PONGANADU,MALATHY AMMA. J,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,5,KILIMANOOR,SANU S,CPI,SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,6,PAZHAYAKUNNUMMEL,G BABUKUTTAN,CPI,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,7,MANJAPPARA,YAHIYA S,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,8,PULIMATH,K VALSALA KUMAR,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,9,KODUVAZHANOOR,G HARIKRISHNAN,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,10,NAGAROOR,SALINI L,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,11,VELLALLOR,RAJENDRAN N,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,12,VANCHIYOOR,K SUBHASH,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,13,KARAVARAM,ADV. P R RAJEEV,CPI,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,14,NAVAIKULAM,K SANTHAMMA,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Kilimanoor,15,THRIKKOVILVATTAM,NISSA A,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,1,KAYIKKARA,SANDHYA D,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,2,VAKKOM,GEETHA SURESH,CPI(M),SC Woman,SC Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,3,NILAKKAMUKKU,ADV. S. FIROZ LAL,JD(S),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,4,KEEZHATTINGAL,DEVE N,CPI(M),SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,5,MUDAKKAL,SINDHUKUMARY M,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,6,VALAKKAD,ELAMPA UNNIKRISHNAN,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,7,EDACKODE,B RAMABAI AMMA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,Chirayinkeezhu,8,PURAVOOR,MANJU PRADEEP,INC,Woman,Woman,OpenDataKerala GitHub
