Year,District,Block,Grama_Panchayat,Ward_No,Ward_Name,Winning_Candidate,Party,Category,Reservation_Status,Source
2015,Thiruvananthapuram,,Chemmaruthy,1,VANDIPPURA,JANARDHANAKURUP R,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Chemmaruthy,2,PALAYAMKUNNU,JAYASIMHAN,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Chemmaruthy,3,KOVOOR,KUTTAPPAN THAMPI,CPI(M),SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Chemmaruthy,4,SIVAPURAM,JAYALEKSHMI S,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Chemmaruthy,5,MUTHANA,SUBHASH V,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Chemmaruthy,6,MAVINMOODU,THANKAPPAN S,CPI(M),SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Chemmaruthy,7,NJEKKADU,GEETHA NALAN,INC,SC Woman,SC Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Chemmaruthy,8,CHEMMARUTHY,ARAVINDAN M,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Chemmaruthy,9,PANCHAYAT OFFICE,ARUNA S LAL,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Chemmaruthy,10,VALIYAVILA,VIJAYA S,INC,SC Woman,SC Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Chemmaruthy,11,THARATTA,SREELEKHA KURUP,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Chemmaruthy,12,THOKKADU,ALIHASSAN SALIM,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Chemmaruthy,13,PRALEYAGIRI,JESSY V,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Chemmaruthy,14,PANAYARA,BEENA B,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Chemmaruthy,15,THACHODE,AJI A,BSP,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Chemmaruthy,16,SREENIVASAPURAM,RAM MOHAN S,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Chemmaruthy,17,NADAYARA,MUHAMMED IQBAL A,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Chemmaruthy,18,MUTTAPPALAM,GEETHA KUMARI V,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Chemmaruthy,19,CHAVADIMUKKU,REJANI PREMJI,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Edava,1,KAPPIL,N RAJU,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Edava,2,KAPPIL HS,S JAYADEVAN NAIR,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Edava,3,AMBEDKAR,SHYLAJA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Edava,4,PARAYIL,S MOHANAN NAIR,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Edava,5,VENKULAM,ANITHA S,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Edava,6,POTTAKULAM,AJITHA KUMARI S,BJP,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Edava,7,KATTUVILA,K ASOK KUMAR,INC,SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Edava,8,KURUVILA,P CHANDRA BABU,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Edava,9,VENKULAM LVUPS,SUNITHA S BABU,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Edava,10,CHEMBAKATHINMOODU,BAIJU,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Edava,11,EMHS,YAHILIMA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Edava,12,ODAYAM,SINDHU F KALAM,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Edava,13,MANTHARA,NAVAS KHAN,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Edava,14,SREEYETTU,A SATHYABHAMA,CPI(M),SC Woman,SC Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Edava,15,MADRASA,A RASHEEDA,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Edava,16,EDAVA PHC,SEENATH,CPI,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Edava,17,VETTAKADA,HARSHAD SABU,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Elakamon,1,THONIPPARA,BINU.V,BJP,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Elakamon,2,HARIHARAPURAM,KALADEVI AMMA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Elakamon,3,OONNINMOODU,RENJINI.R.B,BJP,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Elakamon,4,KALIYIKKAL,MINIMOL.S,CPI(M),SC Woman,SC Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Elakamon,5,ELAKAMON,ADV.V.DEVADAS,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Elakamon,6,KIZHAKKEPPURAM,M.SHAIJY,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Elakamon,7,VENCODE,SENCY.V,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Elakamon,8,PALAYAMKUNNU,SHEELA.V,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Elakamon,9,SASTHAMNADA,K.K.RAVEENDRANATH,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Elakamon,10,KADAVINKARA,SOORYA.R,CPI(M),SC Woman,SC Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Elakamon,11,KALATHARA,SUMITHRA.S,INDEPENDENT,SC,SC,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Elakamon,12,MOOLABHAGAM,ANIL.C,INDEPENDENT,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Elakamon,13,AYIROOR,ADV.B.S.JOSE,CPI(M),General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Elakamon,14,KAYALPURAM,SAJEEYA,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Elakamon,15,VILAPPURAM,V.SUMANGALA,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Elakamon,16,KEDAKULAM,ASHANINA.N,CPI(M),Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Manamboor,1,PARTHUKONAM,G VIJAYAN,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Manamboor,2,KUZHIVILA,AMBILY S,INC,Woman,Woman,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Manamboor,3,GURU NAGAR,V. RADHAKRISHNAN,INC,General,General,OpenDataKerala GitHub
2015,Thiruvananthapuram,,Manamboor,4,MANAMBOOR,SURESHKUMAR S,INC,General,General,OpenDataKerala GitHub
